dorsal,ventral,occipital,frontal
92,96,64,100
44,92,96,96
64,76,68,100
48,32,64,108
32,92,72,164
32,8,64,96
52,92,72,8
36,116,96,60
40,72,64,168
12,92,64,8
32,92,72,112
28,96,96,108
32,96,100,120
80,92,76,104
64,24,60,100
64,0,0,104
64,96,100,104
64,96,64,168
64,96,64,136
36,96,64,128
88,96,92,132
52,56,52,96
64,96,96,96
40,64,48,64
20,76,72,96
88,92,88,108
36,92,64,12
84,68,64,68
64,96,96,132
64,0,64,168
84,92,64,164
36,88,64,132
64,92,64,64
80,92,72,100
64,72,72,76
84,80,76,112
64,24,80,96
28,116,64,132
92,100,96,136
40,96,100,112
64,80,84,96
160,96,72,164
32,96,64,96
48,76,64,108
28,84,72,116
40,92,68,160
64,92,64,68
48,24,84,8
88,96,68,12
64,96,96,96
92,96,96,136
32,136,64,16
84,96,72,96
76,76,68,108
148,140,68,168
148,100,68,136
92,96,76,168
64,24,60,108
88,96,64,60
0,24,28,4
92,96,100,112
64,96,84,104
64,92,72,104
0,96,68,60
92,148,64,164
48,0,64,108
64,8,8,108
52,24,48,96
32,96,64,36
64,96,64,36
120,96,96,132
84,92,64,164
32,96,96,128
88,76,68,132
88,96,96,132
12,72,64,112
32,152,12,16
64,96,64,160
84,68,64,148
144,140,68,132
28,28,64,112
52,88,44,96
76,76,64,96
32,32,72,100
64,76,60,164
32,92,100,12
64,24,64,96
64,64,64,168
88,92,76,64
64,72,64,96
32,72,64,96
120,96,76,132
84,76,52,164
28,96,52,112
80,88,68,164
112,96,52,112
28,28,64,96
64,24,64,60
164,0,64,12
84,0,68,144
52,92,64,60
88,96,96,120
80,76,68,148
64,92,64,164
64,80,64,164
64,0,64,60
64,20,12,100
32,92,48,112
32,88,64,96
92,120,64,16
80,88,76,100
28,24,64,108
52,24,84,8
32,76,60,32
92,28,96,112
40,60,52,12
92,96,96,164
32,84,96,96
116,0,100,128
84,88,84,128
32,0,60,96
64,80,64,8
84,92,96,132
40,76,60,164
60,28,64,100
80,24,96,108
64,92,84,96
52,96,12,12
40,92,84,128
84,96,48,128
80,92,76,104
60,84,72,76
84,76,96,96
84,84,64,64
64,96,96,64
40,92,68,156
64,92,84,96
36,96,156,72
48,96,84,108
80,68,64,168
124,96,100,128
92,136,52,112
64,72,64,12
84,96,76,68
32,96,100,120
64,24,60,64
60,56,48,100
64,92,64,16
32,92,100,96
16,24,64,64
32,80,64,92
116,92,76,104
160,100,68,168
60,24,52,100
52,80,52,32
44,96,96,128
56,28,84,100
40,96,100,132
8,0,96,12
64,68,56,164
64,136,100,132
84,96,68,164
80,72,64,168
32,28,64,108
80,96,72,108
64,44,60,108
80,92,76,96
80,76,68,100
64,96,64,68
52,20,12,100
60,72,60,68
64,24,60,100
24,28,60,112
40,76,64,112
64,120,60,164
32,100,100,120
64,92,68,104
60,84,64,12
40,80,64,128
52,80,60,64
48,88,68,164
84,96,76,132
48,96,84,96
84,96,72,136
120,92,76,168
172,96,12,108
84,0,68,168
64,88,64,64
64,20,12,64
32,80,84,96
104,96,96,68
152,76,60,168
48,88,96,92
8,96,100,128
88,132,12,16
48,88,84,96
84,96,100,112
92,92,68,96
64,136,64,164
64,88,52,72
92,96,64,132
52,24,64,12
64,0,100,108
64,24,52,164
64,84,64,132
96,100,100,108
20,24,64,12
48,24,64,96
64,8,12,12
64,76,60,64
80,96,96,164
4,24,64,8
92,96,92,116
64,72,64,96
84,92,84,132
144,120,68,132
8,96,64,16
108,104,48,108
64,92,100,132
148,96,96,132
64,76,84,96
52,96,60,96
32,96,100,68
40,92,68,132
32,72,64,96
84,88,68,140
148,136,64,168
64,96,96,100
84,92,68,168
64,96,80,104
48,96,128,12
52,96,60,28
64,92,64,168
84,0,64,168
84,88,96,128
40,136,52,168
64,76,64,100
84,76,68,96
64,24,64,96
64,96,100,104
44,92,64,112
120,92,68,136
32,76,64,96
64,92,68,168
48,80,76,96
48,96,60,8
80,96,68,168
32,92,60,96
