,corrs,x_coord,y_coord,offset,label
241,-0.03785170545370186,[3],[19],[-64],Dorsal
242,-0.06940795725705128,[3],[20],[-68],Dorsal
243,-0.07999207334652679,[3],[21],[-72],Dorsal
244,-0.08502437135372061,[3],[22],[-76],Dorsal
245,-0.10171532057831904,[3],[23],[-80],Dorsal
246,-0.12912718255088748,[3],[24],[-84],Dorsal
247,-0.14987261610303468,[3],[25],[-88],Dorsal
248,-0.14087611852968354,[3],[26],[-92],Dorsal
249,-0.10991094533674776,[3],[27],[-96],Dorsal
250,-0.04049222361857417,[3],[28],[-100],Dorsal
251,0.0064056142163735515,[3],[29],[-104],Dorsal
252,0.03806659270608736,[3],[30],[-108],Dorsal
253,0.06490949275664018,[3],[31],[-112],Dorsal
254,0.07157594309802007,[3],[32],[-116],Dorsal
255,0.05992057397478601,[3],[33],[-120],Dorsal
256,0.07306653482938842,[3],[34],[-124],Dorsal
257,0.10156575057107853,[3],[35],[-128],Dorsal
258,0.1461107069974077,[3],[36],[-132],Dorsal
259,0.15911720846608005,[3],[37],[-136],Dorsal
260,0.14833317171678648,[3],[38],[-140],Dorsal
261,0.1106371347576294,[3],[39],[-144],Dorsal
262,0.0652419364844071,[3],[40],[-148],Dorsal
263,0.011875797755106719,[3],[41],[-152],Dorsal
264,-0.03747536025326936,[3],[42],[-156],Dorsal
265,-0.08754223331515829,[3],[43],[-160],Dorsal
266,-0.15587493179377118,[3],[44],[-164],Dorsal
267,-0.21718472158000637,[3],[45],[-168],Dorsal
268,-0.250710359246577,[3],[46],[-172],Dorsal
269,-0.3041577177513516,[3],[47],[-176],Dorsal
270,-0.3689292347971015,[3],[48],[-180],Dorsal
271,-0.38472714620462684,[3],[49],[-184],Dorsal
272,-0.37633669108073936,[3],[50],[-188],Dorsal
273,-0.3354890421641777,[3],[51],[-192],Dorsal
274,-0.28411557803813375,[3],[52],[-196],Dorsal
275,-0.2500475458701222,[3],[53],[-200],Dorsal
276,-0.23236948362958448,[3],[54],[-204],Dorsal
277,-0.24464432392803012,[3],[55],[-208],Dorsal
278,-0.26763113919735443,[3],[56],[-212],Dorsal
279,-0.26715259917741724,[3],[57],[-216],Dorsal
280,-0.23410845666012722,[3],[58],[-220],Dorsal
281,-0.18774670926114867,[3],[59],[-224],Dorsal
282,-0.16123405456072532,[3],[60],[-228],Dorsal
283,-0.17134801427650753,[3],[61],[-232],Dorsal
284,-0.1874948580825656,[3],[62],[-236],Dorsal
285,-0.19726801338666888,[3],[63],[-240],Dorsal
286,-0.17317374958712678,[3],[64],[-244],Dorsal
287,-0.155026109743115,[3],[65],[-248],Dorsal
288,-0.16107733508645306,[3],[66],[-252],Dorsal
289,-0.15254196624493455,[3],[67],[-256],Dorsal
290,-0.1376108573964369,[3],[68],[-260],Dorsal
291,-0.17266268559347228,[3],[69],[-264],Dorsal
292,-0.2455238656857473,[3],[70],[-268],Dorsal
293,-0.27677131254390414,[3],[71],[-272],Dorsal
294,-0.22081477661487656,[3],[72],[-276],Dorsal
295,-0.09491788804089407,[3],[73],[-280],Dorsal
296,0.018787509022042594,[4],[0],[16],Ventral
297,0.18329138630939845,[4],[1],[12],Ventral
